Symbol,Name,Exchange,instrument_key,industry,sector
DATAPATTNS,Data Patterns (India) Limited,2,BSE_EQ|INE0IX101010,Aerospace & Defense,Aerospace & Defense
ABB,ABB India Limited,2,BSE_EQ|INE117A01022,Heavy Electrical Equipment,Electrical Equipment
AEGISLOG,Aegis Logistics Ltd.,2,BSE_EQ|INE208C01025,Trading - Gas,Gas
ARE&M,Amara Raja Energy & Mobility Limited,2,BSE_EQ|INE885A01032,Auto Components & Equipments,Auto Components
AMBALALSA,Ambalal Sarabhai Enterprise Ltd.,2,BSE_EQ|INE432A01017,Pharmaceuticals,Pharmaceuticals & Biotechnology
ANDHRAPET,Andhra Petrochemicals Ltd.,2,BSE_EQ|INE714B01016,Commodity Chemicals,Chemicals & Petrochemicals
ANSALAPI,Ansal Properties & Infrastructure Ltd.,2,BSE_EQ|INE436A01026,Residential- Commercial Projects,Realty
UTIQUE,UTIQUE ENTERPRISES LIMITED,2,BSE_EQ|INE096A01010,Precious Metals,Non - Ferrous Metals
ARUNAHTEL,Aruna Hotels Ltd.,2,BSE_EQ|INE957C01019,Hotels & Resorts,Leisure Services
BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,2,BSE_EQ|INE032A01023,Other Textile Products,Textiles & Apparels
ASIANHOTNR,Asian Hotels (North) Limited,2,BSE_EQ|INE363A01022,Hotels & Resorts,Leisure Services
ATUL,Atul Limited.,2,BSE_EQ|INE100A01010,Specialty Chemicals,Chemicals & Petrochemicals
ATVPR,ATV Projects India Ltd,2,BSE_EQ|INE447A01015,Industrial Products,Industrial Manufacturing
BAJAJELEC,Bajaj Electricals Ltd.,2,BSE_EQ|INE193E01025,Household Appliances,Consumer Durables
BAJAJHIND,Bajaj Hindusthan Sugar Limited,2,BSE_EQ|INE306A01021,Sugar,Agricultural Food & other Products
FORCEMOT,Force Motors Limited,2,BSE_EQ|INE451A01017,Passenger Cars & Utility Vehicles,Automobiles
BAJFINANCE,Bajaj Finance Limited,2,BSE_EQ|INE296A01024,Non Banking Financial Company (NBFC),Finance
BALRAMCHIN,Balrampur Chini Mills Ltd.,2,BSE_EQ|INE119A01028,Sugar,Agricultural Food & other Products
BANCOINDIA,Banco Products (India) Ltd.,2,BSE_EQ|INE213C01025,Auto Components & Equipments,Auto Components
CENTURYTEX,Century Textiles & Industries Ltd.,2,BSE_EQ|INE055A01016,Paper & Paper Products,"Paper, Forest & Jute Products"
BANARISUG,Bannari Amman Sugars Ltd.,2,BSE_EQ|INE459A01010,Sugar,Agricultural Food & other Products
BASF,BASF India Ltd,2,BSE_EQ|INE373A01013,Specialty Chemicals,Chemicals & Petrochemicals
BATAINDIA,Bata India Limited,2,BSE_EQ|INE176A01028,Footwear,Consumer Durables
BEML,BEML Ltd,2,BSE_EQ|INE258A01016,Construction Vehicles,"Agricultural, Commercial & Construction Vehicles"
BEL,Bharat Electronics Ltd.,2,BSE_EQ|INE263A01024,Aerospace & Defense,Aerospace & Defense
BEPL,Bhansali Engineering Polymers Ltd.,2,BSE_EQ|INE922A01025,Specialty Chemicals,Chemicals & Petrochemicals
BIHSPONG,Bihar Sponge Iron Ltd,2,BSE_EQ|INE819C01011,Sponge Iron,Ferrous Metals
BINANIIND,Binani Industries Limited,2,BSE_EQ|INE071A01013,Print Media,Media
BIRLACABLE,Birla Cable Limited,2,BSE_EQ|INE800A01015,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
BLUESTARCO,Blue Star Ltd,2,BSE_EQ|INE472A01039,Household Appliances,Consumer Durables
DISAQ,Disa India Ltd.,2,BSE_EQ|INE131C01011,Industrial Products,Industrial Manufacturing
QUESTCAP,QUEST CAPITAL MARKETS LIMITED,2,BSE_EQ|INE418C01012,Other Capital Market related Services,Capital Markets
BPL,BPL Ltd.,2,BSE_EQ|INE110A01019,Consumer Electronics,Consumer Durables
OAL,ORIENTAL AROMATICS LIMITED,2,BSE_EQ|INE959C01023,Specialty Chemicals,Chemicals & Petrochemicals
CENTEXT,Century Extrusions Ltd.,2,BSE_EQ|INE281A01026,Aluminium- Copper & Zinc Products,Industrial Products
CESC,CESC Limited,2,BSE_EQ|INE486A01021,Integrated Power Utilities,Power
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,2,BSE_EQ|INE085A01013,Fertilizers,Fertilizers & Agrochemicals
EXIDEIND,Exide Industries Ltd.,2,BSE_EQ|INE302A01020,Auto Components & Equipments,Auto Components
CIPLA,Cipla Ltd.,2,BSE_EQ|INE059A01026,Pharmaceuticals,Pharmaceuticals & Biotechnology
DICIND,DIC India Ltd,2,BSE_EQ|INE303A01010,Printing Inks,Chemicals & Petrochemicals
CRISIL,CRISIL Ltd.,2,BSE_EQ|INE007A01025,Other Financial Services,Finance
CGPOWER,CG Power and Industrial Solutions Limited,2,BSE_EQ|INE067A01029,Heavy Electrical Equipment,Electrical Equipment
DABUR,Dabur India Ltd.,2,BSE_EQ|INE016A01026,Personal Care,Personal Products
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,2,BSE_EQ|INE495A01022,Sugar,Agricultural Food & other Products
ARVIND,Arvind Ltd.,2,BSE_EQ|INE034A01011,Garments & Apparels,Textiles & Apparels
BHEL,Bharat Heavy Electricals Ltd.,2,BSE_EQ|INE257A01026,Heavy Electrical Equipment,Electrical Equipment
HINDPETRO,Hindustan Petroleum Corporation Ltd,2,BSE_EQ|INE094A01015,Refineries & Marketing,Petroleum Products
IFCI,IFCI Ltd.,2,BSE_EQ|INE039A01010,Financial Institution,Finance
MTNL,Mahanagar Telephone Nigam Ltd.,2,BSE_EQ|INE153A01019,Telecom - Cellular & Fixed line services,Telecom - Services
MRPL,Mangalore Refinery & Petrochemicals,2,BSE_EQ|INE103A01014,Refineries & Marketing,Petroleum Products
CHENNPETRO,Chennai Petroleum Corporation Ltd.,2,BSE_EQ|INE178A01016,Refineries & Marketing,Petroleum Products
SBIN,State Bank Of India,2,BSE_EQ|INE062A01020,Public Sector Bank,Banks
SAIL,Steel Authority of India Ltd.,2,BSE_EQ|INE114A01011,Iron & Steel,Ferrous Metals
TITAN,Titan Company Limited,2,BSE_EQ|INE280A01028,Gems- Jewellery And Watches,Consumer Durables
IDBI,IDBI Bank Ltd,2,BSE_EQ|INE008A01015,Private Sector Bank,Banks
DCW,DCW Ltd.,2,BSE_EQ|INE500A01029,Petrochemicals,Chemicals & Petrochemicals
DHAMPURSUG,Dhampur Sugar Mills Ltd.,2,BSE_EQ|INE041A01016,Sugar,Agricultural Food & other Products
DIAMINESQ,Diamines & Chemicals Ltd.,2,BSE_EQ|INE591D01014,Specialty Chemicals,Chemicals & Petrochemicals
ELANTAS,Elantas Beck India Ltd,2,BSE_EQ|INE280B01018,Specialty Chemicals,Chemicals & Petrochemicals
DRREDDY,Dr. Reddy's Laboratories Ltd.,2,BSE_EQ|INE089A01023,Pharmaceuticals,Pharmaceuticals & Biotechnology
EIDPARRY,E.I.D. Parry (India) Ltd.,2,BSE_EQ|INE126A01031,Fertilizers,Fertilizers & Agrochemicals
PGHL,PROCTER & GAMBLE HEALTH LIMITED,2,BSE_EQ|INE199A01012,Pharmaceuticals,Pharmaceuticals & Biotechnology
ELECTCAST,Electrosteel Castings Ltd.,2,BSE_EQ|INE086A01029,Iron & Steel Products,Industrial Products
ESABINDIA,Esab India Ltd.,2,BSE_EQ|INE284A01012,Other Industrial Products,Industrial Products
EPL,EPL LIMITED,2,BSE_EQ|INE255A01020,Packaging,Industrial Products
